StromnetzTyp,StationTyp,Anzahl,Datum
Allgemeinstrom,Transformatorenstation,131,2023-06-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-21
Allgemeinstrom,Unterwerk,191,2023-06-21
Allgemeinstrom,Transformatorenstation,131,2023-06-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-27
Allgemeinstrom,Unterwerk,195,2023-06-27
Allgemeinstrom,Transformatorenstation,131,2023-06-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-28
Allgemeinstrom,Unterwerk,195,2023-06-28
Allgemeinstrom,Transformatorenstation,131,2023-06-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-29
Allgemeinstrom,Unterwerk,248,2023-06-29
Allgemeinstrom,Transformatorenstation,131,2023-06-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-30
Allgemeinstrom,Unterwerk,248,2023-06-30
Allgemeinstrom,Transformatorenstation,131,2023-07-01
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-01
Allgemeinstrom,Unterwerk,248,2023-07-01
Allgemeinstrom,Transformatorenstation,131,2023-07-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-02
Allgemeinstrom,Unterwerk,248,2023-07-02
Allgemeinstrom,Transformatorenstation,131,2023-07-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-03
Allgemeinstrom,Unterwerk,248,2023-07-03
Allgemeinstrom,Transformatorenstation,131,2023-07-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-04
Allgemeinstrom,Unterwerk,248,2023-07-04
Allgemeinstrom,Transformatorenstation,131,2023-07-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-05
Allgemeinstrom,Unterwerk,248,2023-07-05
Allgemeinstrom,Transformatorenstation,131,2023-07-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-06
Allgemeinstrom,Unterwerk,248,2023-07-06
Allgemeinstrom,Transformatorenstation,131,2023-07-07
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-07
Allgemeinstrom,Unterwerk,248,2023-07-07
Allgemeinstrom,Transformatorenstation,131,2023-07-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-08
Allgemeinstrom,Unterwerk,251,2023-07-08
Allgemeinstrom,Transformatorenstation,131,2023-07-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-09
Allgemeinstrom,Unterwerk,251,2023-07-09
Allgemeinstrom,Transformatorenstation,131,2023-07-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-10
Allgemeinstrom,Unterwerk,251,2023-07-10
Allgemeinstrom,Transformatorenstation,131,2023-07-11
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-11
Allgemeinstrom,Unterwerk,251,2023-07-11
Allgemeinstrom,Transformatorenstation,131,2023-07-12
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-12
Allgemeinstrom,Unterwerk,251,2023-07-12
Allgemeinstrom,Transformatorenstation,131,2023-07-13
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-13
Allgemeinstrom,Unterwerk,251,2023-07-13
Allgemeinstrom,Transformatorenstation,131,2023-07-14
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-14
Allgemeinstrom,Unterwerk,264,2023-07-14
Allgemeinstrom,Transformatorenstation,131,2023-07-15
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-15
Allgemeinstrom,Unterwerk,264,2023-07-15
Allgemeinstrom,Transformatorenstation,131,2023-07-16
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-16
Allgemeinstrom,Unterwerk,264,2023-07-16
Allgemeinstrom,Transformatorenstation,131,2023-07-17
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-17
Allgemeinstrom,Unterwerk,264,2023-07-17
Allgemeinstrom,Transformatorenstation,131,2023-07-18
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-18
Allgemeinstrom,Unterwerk,264,2023-07-18
Allgemeinstrom,Transformatorenstation,131,2023-07-19
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-19
Allgemeinstrom,Unterwerk,264,2023-07-19
Allgemeinstrom,Transformatorenstation,131,2023-07-20
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-20
Allgemeinstrom,Unterwerk,264,2023-07-20
Allgemeinstrom,Transformatorenstation,131,2023-07-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-21
Allgemeinstrom,Unterwerk,264,2023-07-21
Allgemeinstrom,Transformatorenstation,131,2023-07-22
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-22
Allgemeinstrom,Unterwerk,264,2023-07-22
Allgemeinstrom,Transformatorenstation,131,2023-07-23
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-23
Allgemeinstrom,Unterwerk,264,2023-07-23
Allgemeinstrom,Transformatorenstation,131,2023-07-24
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-24
Allgemeinstrom,Unterwerk,264,2023-07-24
Allgemeinstrom,Transformatorenstation,131,2023-07-25
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-25
Allgemeinstrom,Unterwerk,264,2023-07-25
Allgemeinstrom,Transformatorenstation,131,2023-07-26
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-26
Allgemeinstrom,Unterwerk,264,2023-07-26
Allgemeinstrom,Transformatorenstation,131,2023-07-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-27
Allgemeinstrom,Unterwerk,264,2023-07-27
Allgemeinstrom,Transformatorenstation,131,2023-07-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-28
Allgemeinstrom,Unterwerk,264,2023-07-28
Allgemeinstrom,Transformatorenstation,131,2023-07-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-29
Allgemeinstrom,Unterwerk,264,2023-07-29
Allgemeinstrom,Transformatorenstation,131,2023-07-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-30
Allgemeinstrom,Unterwerk,264,2023-07-30
Allgemeinstrom,Transformatorenstation,131,2023-07-31
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-31
Allgemeinstrom,Unterwerk,264,2023-07-31
Allgemeinstrom,Transformatorenstation,131,2023-08-01
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-01
Allgemeinstrom,Unterwerk,264,2023-08-01
Allgemeinstrom,Transformatorenstation,131,2023-08-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-02
Allgemeinstrom,Unterwerk,264,2023-08-02
Allgemeinstrom,Transformatorenstation,131,2023-08-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-03
Allgemeinstrom,Unterwerk,264,2023-08-03
Allgemeinstrom,Transformatorenstation,131,2023-08-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-04
Allgemeinstrom,Unterwerk,279,2023-08-04
Allgemeinstrom,Kraftwerk,5,2023-08-05
Allgemeinstrom,Transformatorenstation,186,2023-08-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-05
Allgemeinstrom,Unterwerk,279,2023-08-05
Allgemeinstrom,Kraftwerk,5,2023-08-06
Allgemeinstrom,Transformatorenstation,186,2023-08-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-06
Allgemeinstrom,Unterwerk,279,2023-08-06
Allgemeinstrom,Kraftwerk,5,2023-08-07
Allgemeinstrom,Transformatorenstation,186,2023-08-07
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-07
Allgemeinstrom,Unterwerk,279,2023-08-07
Allgemeinstrom,Kraftwerk,5,2023-08-08
Allgemeinstrom,Transformatorenstation,186,2023-08-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-08
Allgemeinstrom,Unterwerk,279,2023-08-08
Allgemeinstrom,Kraftwerk,5,2023-08-09
Allgemeinstrom,Transformatorenstation,186,2023-08-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-09
Allgemeinstrom,Unterwerk,279,2023-08-09
Allgemeinstrom,Kraftwerk,5,2023-08-10
Allgemeinstrom,Transformatorenstation,186,2023-08-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-10
Allgemeinstrom,Unterwerk,279,2023-08-10
Allgemeinstrom,Kraftwerk,5,2023-08-11
Allgemeinstrom,Transformatorenstation,186,2023-08-11
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-11
Allgemeinstrom,Unterwerk,279,2023-08-11
Allgemeinstrom,Kraftwerk,5,2023-08-12
Allgemeinstrom,Transformatorenstation,186,2023-08-12
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-12
Allgemeinstrom,Unterwerk,279,2023-08-12
Allgemeinstrom,Kraftwerk,5,2023-08-13
Allgemeinstrom,Transformatorenstation,186,2023-08-13
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-13
Allgemeinstrom,Unterwerk,279,2023-08-13
Allgemeinstrom,Kraftwerk,5,2023-08-14
Allgemeinstrom,Transformatorenstation,186,2023-08-14
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-14
Allgemeinstrom,Unterwerk,279,2023-08-14
Allgemeinstrom,Kraftwerk,5,2023-08-15
Allgemeinstrom,Transformatorenstation,186,2023-08-15
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-15
Allgemeinstrom,Unterwerk,279,2023-08-15
Allgemeinstrom,Kraftwerk,5,2023-08-16
Allgemeinstrom,Transformatorenstation,186,2023-08-16
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-16
Allgemeinstrom,Unterwerk,279,2023-08-16
Allgemeinstrom,Kraftwerk,5,2023-08-17
Allgemeinstrom,Transformatorenstation,186,2023-08-17
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-17
Allgemeinstrom,Unterwerk,279,2023-08-17
Allgemeinstrom,Kraftwerk,5,2023-08-18
Allgemeinstrom,Transformatorenstation,186,2023-08-18
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-18
Allgemeinstrom,Unterwerk,279,2023-08-18
Allgemeinstrom,Kraftwerk,5,2023-08-19
Allgemeinstrom,Transformatorenstation,186,2023-08-19
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-19
Allgemeinstrom,Unterwerk,279,2023-08-19
Allgemeinstrom,Kraftwerk,5,2023-08-20
Allgemeinstrom,Transformatorenstation,186,2023-08-20
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-20
Allgemeinstrom,Unterwerk,279,2023-08-20
Allgemeinstrom,Kraftwerk,5,2023-08-21
Allgemeinstrom,Transformatorenstation,186,2023-08-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-21
Allgemeinstrom,Unterwerk,279,2023-08-21
Allgemeinstrom,Kraftwerk,5,2023-08-22
Allgemeinstrom,Transformatorenstation,186,2023-08-22
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-22
Allgemeinstrom,Unterwerk,279,2023-08-22
Allgemeinstrom,Kraftwerk,5,2023-08-23
Allgemeinstrom,Transformatorenstation,186,2023-08-23
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-23
Allgemeinstrom,Unterwerk,279,2023-08-23
Allgemeinstrom,Kraftwerk,5,2023-08-24
Allgemeinstrom,Transformatorenstation,186,2023-08-24
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-24
Allgemeinstrom,Unterwerk,279,2023-08-24
Allgemeinstrom,Kraftwerk,5,2023-08-25
Allgemeinstrom,Transformatorenstation,186,2023-08-25
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-25
Allgemeinstrom,Unterwerk,279,2023-08-25
Allgemeinstrom,Kraftwerk,5,2023-08-26
Allgemeinstrom,Transformatorenstation,186,2023-08-26
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-26
Allgemeinstrom,Unterwerk,279,2023-08-26
Allgemeinstrom,Kraftwerk,5,2023-08-27
Allgemeinstrom,Transformatorenstation,186,2023-08-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-27
Allgemeinstrom,Unterwerk,279,2023-08-27
Allgemeinstrom,Kraftwerk,5,2023-08-28
Allgemeinstrom,Transformatorenstation,186,2023-08-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-28
Allgemeinstrom,Unterwerk,279,2023-08-28
Allgemeinstrom,Kraftwerk,5,2023-08-29
Allgemeinstrom,Transformatorenstation,186,2023-08-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-29
Allgemeinstrom,Unterwerk,281,2023-08-29
Allgemeinstrom,Kraftwerk,5,2023-08-30
Allgemeinstrom,Transformatorenstation,186,2023-08-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-30
Allgemeinstrom,Unterwerk,281,2023-08-30
Allgemeinstrom,Kraftwerk,5,2023-08-31
Allgemeinstrom,Transformatorenstation,186,2023-08-31
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-31
Allgemeinstrom,Unterwerk,281,2023-08-31
Allgemeinstrom,Kraftwerk,5,2023-09-02
Allgemeinstrom,Transformatorenstation,186,2023-09-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-02
Allgemeinstrom,Unterwerk,299,2023-09-02
Allgemeinstrom,Kraftwerk,5,2023-09-03
Allgemeinstrom,Transformatorenstation,186,2023-09-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-03
Allgemeinstrom,Unterwerk,299,2023-09-03
Allgemeinstrom,Kraftwerk,5,2023-09-04
Allgemeinstrom,Transformatorenstation,186,2023-09-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-04
Allgemeinstrom,Unterwerk,299,2023-09-04
Allgemeinstrom,Kraftwerk,5,2023-09-05
Allgemeinstrom,Transformatorenstation,186,2023-09-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-05
Allgemeinstrom,Unterwerk,299,2023-09-05
Allgemeinstrom,Kraftwerk,5,2023-09-06
Allgemeinstrom,Transformatorenstation,186,2023-09-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-06
Allgemeinstrom,Unterwerk,299,2023-09-06
Allgemeinstrom,Kraftwerk,5,2023-09-07
Allgemeinstrom,Transformatorenstation,186,2023-09-07
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-07
Allgemeinstrom,Unterwerk,299,2023-09-07
Allgemeinstrom,Kraftwerk,5,2023-09-08
Allgemeinstrom,Transformatorenstation,186,2023-09-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-08
Allgemeinstrom,Unterwerk,299,2023-09-08
Allgemeinstrom,Kraftwerk,5,2023-09-09
Allgemeinstrom,Transformatorenstation,186,2023-09-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-09
Allgemeinstrom,Unterwerk,307,2023-09-09
Allgemeinstrom,Kraftwerk,5,2023-09-10
Allgemeinstrom,Transformatorenstation,186,2023-09-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-10
Allgemeinstrom,Unterwerk,307,2023-09-10
Allgemeinstrom,Kraftwerk,5,2023-09-11
Allgemeinstrom,Transformatorenstation,186,2023-09-11
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-11
Allgemeinstrom,Unterwerk,307,2023-09-11
Allgemeinstrom,Kraftwerk,5,2023-09-12
Allgemeinstrom,Schaltstation,1,2023-09-12
Allgemeinstrom,Transformatorenstation,188,2023-09-12
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-12
Allgemeinstrom,Unterwerk,307,2023-09-12
Allgemeinstrom,Kraftwerk,5,2023-09-13
Allgemeinstrom,Schaltstation,1,2023-09-13
Allgemeinstrom,Transformatorenstation,188,2023-09-13
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-13
Allgemeinstrom,Unterwerk,307,2023-09-13
Allgemeinstrom,Kraftwerk,5,2023-09-14
Allgemeinstrom,Schaltstation,1,2023-09-14
Allgemeinstrom,Transformatorenstation,188,2023-09-14
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-14
Allgemeinstrom,Unterwerk,307,2023-09-14
Allgemeinstrom,Kraftwerk,5,2023-09-15
Allgemeinstrom,Schaltstation,1,2023-09-15
Allgemeinstrom,Transformatorenstation,188,2023-09-15
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-15
Allgemeinstrom,Unterwerk,307,2023-09-15
Allgemeinstrom,Kraftwerk,5,2023-09-16
Allgemeinstrom,Schaltstation,1,2023-09-16
Allgemeinstrom,Transformatorenstation,188,2023-09-16
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-16
Allgemeinstrom,Unterwerk,313,2023-09-16
Allgemeinstrom,Kraftwerk,5,2023-09-17
Allgemeinstrom,Schaltstation,1,2023-09-17
Allgemeinstrom,Transformatorenstation,188,2023-09-17
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-17
Allgemeinstrom,Unterwerk,313,2023-09-17
Allgemeinstrom,Kraftwerk,5,2023-09-18
Allgemeinstrom,Schaltstation,1,2023-09-18
Allgemeinstrom,Transformatorenstation,188,2023-09-18
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-18
Allgemeinstrom,Unterwerk,313,2023-09-18
Allgemeinstrom,Kraftwerk,5,2023-09-19
Allgemeinstrom,Schaltstation,1,2023-09-19
Allgemeinstrom,Transformatorenstation,188,2023-09-19
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-19
Allgemeinstrom,Unterwerk,313,2023-09-19
Allgemeinstrom,Kraftwerk,5,2023-09-20
Allgemeinstrom,Schaltstation,1,2023-09-20
Allgemeinstrom,Transformatorenstation,188,2023-09-20
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-20
Allgemeinstrom,Unterwerk,313,2023-09-20
Allgemeinstrom,Kraftwerk,5,2023-09-21
Allgemeinstrom,Schaltstation,1,2023-09-21
Allgemeinstrom,Transformatorenstation,188,2023-09-21
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-21
Allgemeinstrom,Unterwerk,313,2023-09-21
Allgemeinstrom,Kraftwerk,5,2023-09-22
Allgemeinstrom,Schaltstation,1,2023-09-22
Allgemeinstrom,Transformatorenstation,188,2023-09-22
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-22
Allgemeinstrom,Unterwerk,313,2023-09-22
Allgemeinstrom,Kraftwerk,5,2023-09-23
Allgemeinstrom,Schaltstation,1,2023-09-23
Allgemeinstrom,Transformatorenstation,188,2023-09-23
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-23
Allgemeinstrom,Unterwerk,313,2023-09-23
Allgemeinstrom,Kraftwerk,5,2023-09-24
Allgemeinstrom,Schaltstation,1,2023-09-24
Allgemeinstrom,Transformatorenstation,188,2023-09-24
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-24
Allgemeinstrom,Unterwerk,313,2023-09-24
Allgemeinstrom,Kraftwerk,5,2023-09-25
Allgemeinstrom,Schaltstation,1,2023-09-25
Allgemeinstrom,Transformatorenstation,188,2023-09-25
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-25
Allgemeinstrom,Unterwerk,313,2023-09-25
Allgemeinstrom,Kraftwerk,5,2023-09-26
Allgemeinstrom,Schaltstation,1,2023-09-26
Allgemeinstrom,Transformatorenstation,188,2023-09-26
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-26
Allgemeinstrom,Unterwerk,313,2023-09-26
Allgemeinstrom,Kraftwerk,5,2023-09-27
Allgemeinstrom,Schaltstation,1,2023-09-27
Allgemeinstrom,Transformatorenstation,188,2023-09-27
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-27
Allgemeinstrom,Unterwerk,313,2023-09-27
Allgemeinstrom,Kraftwerk,5,2023-09-28
Allgemeinstrom,Schaltstation,1,2023-09-28
Allgemeinstrom,Transformatorenstation,188,2023-09-28
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-28
Allgemeinstrom,Unterwerk,313,2023-09-28
Allgemeinstrom,Kraftwerk,5,2023-09-29
Allgemeinstrom,Schaltstation,1,2023-09-29
Allgemeinstrom,Transformatorenstation,188,2023-09-29
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-29
Allgemeinstrom,Unterwerk,313,2023-09-29
Allgemeinstrom,Kraftwerk,5,2023-09-30
Allgemeinstrom,Schaltstation,1,2023-09-30
Allgemeinstrom,Transformatorenstation,188,2023-09-30
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-30
Allgemeinstrom,Unterwerk,313,2023-09-30
Allgemeinstrom,Kraftwerk,5,2023-10-01
Allgemeinstrom,Schaltstation,1,2023-10-01
Allgemeinstrom,Transformatorenstation,188,2023-10-01
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-01
Allgemeinstrom,Unterwerk,313,2023-10-01
Allgemeinstrom,Kraftwerk,5,2023-10-02
Allgemeinstrom,Schaltstation,1,2023-10-02
Allgemeinstrom,Transformatorenstation,188,2023-10-02
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-02
Allgemeinstrom,Unterwerk,313,2023-10-02
Allgemeinstrom,Kraftwerk,5,2023-10-03
Allgemeinstrom,Schaltstation,1,2023-10-03
Allgemeinstrom,Transformatorenstation,188,2023-10-03
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-03
Allgemeinstrom,Unterwerk,313,2023-10-03
Allgemeinstrom,Kraftwerk,5,2023-10-04
Allgemeinstrom,Schaltstation,1,2023-10-04
Allgemeinstrom,Transformatorenstation,188,2023-10-04
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-04
Allgemeinstrom,Unterwerk,313,2023-10-04
Allgemeinstrom,Kraftwerk,5,2023-10-05
Allgemeinstrom,Schaltstation,1,2023-10-05
Allgemeinstrom,Transformatorenstation,188,2023-10-05
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-05
Allgemeinstrom,Unterwerk,313,2023-10-05
Allgemeinstrom,Kraftwerk,5,2023-10-06
Allgemeinstrom,Schaltstation,1,2023-10-06
Allgemeinstrom,Transformatorenstation,188,2023-10-06
Allgemeinstrom,Uebergangsbauwerk,6,2023-10-06
Allgemeinstrom,Unterwerk,313,2023-10-06
Allgemeinstrom,Kraftwerk,5,2023-10-07
Allgemeinstrom,Schaltstation,1,2023-10-07
Allgemeinstrom,Transformatorenstation,188,2023-10-07
