Total_s150,Total_s220,Total_s380,Total_s66,Datum,Kabel_s150,Kabel_s220,Kabel_s380,Kabel_s66,Total_s132B,Kabel_s132B,Total_s66B,Kabel_s66B
2349055.7257298105,4857296.789804842,1915187.111823888,4925036.313929388,2023-06-21,894904.3912337894,25013.209002894077,22044.578551257986,752335.000308092,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,4960445.895525621,2023-06-27,894904.3912337894,25013.209002894077,22044.578551257986,787744.5819043249,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,4960445.895525621,2023-06-28,894904.3912337894,25013.209002894077,22044.578551257986,787744.5819043249,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-06-29,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-06-30,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-01,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-02,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-03,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-04,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-05,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-06,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2349055.7257298105,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-07,894904.3912337894,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-08,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-09,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-10,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-11,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-12,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2626315.3266986115,4857296.789804842,1915187.111823888,5309201.567436302,2023-07-13,1009702.0584661898,25013.209002894077,22044.578551257986,856779.3993952181,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-14,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-15,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-16,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-17,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-18,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-19,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-20,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-21,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-22,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-23,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-24,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-25,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-26,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-27,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-28,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-29,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-30,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-07-31,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-08-01,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-08-02,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683818.816203244,4857296.789804842,1915187.111823888,5522836.252001414,2023-08-03,1009971.0553861258,25013.209002894077,22044.578551257986,895856.1570791523,1,1,1,1
2683815.0839163335,4857296.785328758,1915187.110053111,5522831.138015788,2023-08-04,1009967.3139267393,25013.2090029019,22044.578658731843,895851.047052332,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-05,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-06,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-07,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-08,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-09,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.1100531109,6497879.09862277,2023-08-10,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-11,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-12,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-13,1020612.5651188076,25013.209002901902,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-14,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-15,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-16,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-17,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-18,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-19,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-20,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-21,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-22,1020612.5651188076,25013.209002901902,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.098622771,2023-08-23,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-24,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-25,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-26,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-27,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6497879.09862277,2023-08-28,1020612.5651188076,25013.2090029019,22044.578658731843,1259927.4325454638,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6526584.6223130645,2023-08-29,1020612.5651188076,25013.2090029019,22044.578658731843,1270191.5433742525,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6526927.044787511,2023-08-30,1020612.5651188076,25013.2090029019,22044.578658731843,1270191.5433742525,1,1,1,1
2941774.978706558,4857296.785328758,1915187.110053111,6526927.044787511,2023-08-31,1020612.5651188076,25013.2090029019,22044.578658731843,1270191.5433742525,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-02,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-03,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-04,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-05,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-06,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395987,2023-09-07,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3015768.1415440054,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-08,1094605.727956255,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-09,1187273.3844698863,25013.209002901902,22044.578658731843,1319810.3889827277,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-10,1187273.3844698863,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6576545.890395986,2023-09-11,1187273.3844698863,25013.2090029019,22044.578658731843,1319810.3889827277,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6583027.729981803,2023-09-12,1187273.3844698863,25013.2090029019,22044.578658731843,1326292.2285685448,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6583027.729981803,2023-09-13,1187273.3844698863,25013.2090029019,22044.578658731843,1326292.2285685448,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6583027.729981803,2023-09-14,1187273.3844698863,25013.2090029019,22044.578658731843,1326292.2285685448,1,1,1,1
3122688.3229016047,4857296.785328758,1915187.110053111,6583027.729981803,2023-09-15,1187273.3844698863,25013.2090029019,22044.578658731843,1326292.2285685448,1,1,1,1
3138972.638684742,4857296.785328758,1915187.110053111,6600063.0496942215,2023-09-16,1202643.698565634,25013.2090029019,22044.578658731843,1333020.7980553142,1,1,1,1
